State ,Location,"All Ages, 2012","All Ages, 2014","Ages 0-20, 2012","Ages 0-20, 2014","Ages 21-34, 2012","Ages 21-34, 2014","Ages 35+, 2012","Ages 35+, 2014","Male, 2012","Male, 2014","Female, 2012","Female, 2014","Population, 2012","Population, 2014"
Oklahoma,"Oklahoma
(35.472030747000076, -97.52106835299998)",5.6,4,,,10.5,7.4,5.8,3.9,9.3,6,1.9,2.1,3814820.00,3878051.00
Oregon,"Oregon
(44.56745049300008, -120.15502935599994)",2.2,2.5,,,5.2,4.2,1.8,2.6,3.1,3.7,1.3,1.4,3899353.00,3970239.00
Pennsylvania,"Pennsylvania
(40.79373362300004, -77.86069690799997)",3.3,2.7,1.4,0.7,7.2,5.5,2.8,2.7,5.4,4.4,1.3,1.1,12763536.00,12784227.00
Rhode Island,"Rhode Island
(41.70828106100004, -71.52246566099996)",2.3,,,,,,,,,,,,1050292.00,1055173.00
South Carolina,"South Carolina
(33.99882216300006, -81.04536596899999)",7.6,5.8,2.8,2,14.2,12.4,7.6,5.3,12.3,9,3.2,2.9,4723723.00,4832482.00
South Dakota,"South Dakota
(44.35313004200003, -100.37352915599996)",5.7,5.6,,,,,,6.2,7.4,8.7,,,833354.00,853175.00
Tennessee,"Tennessee
(35.68094072700006, -85.77448666899994)",4.6,4.1,1.6,,8,8.2,4.9,4.1,7.5,6.8,1.8,1.5,6456243.00,6651194.00
Texas,"Texas
(31.827240467000024, -99.42676785299994)",4.9,5.4,2.1,2.3,10,10,4.7,5.3,7.6,8.1,2.4,2.7,26059203.00,27862596.00
Utah,"Utah
(39.36070123200005, -111.58712831499997)",1.2,2,,,,,1.9,2.3,1.7,3,,,2855287.00,2942902.00
Vermont,"Vermont
(43.62538389600007, -72.51763667599994)",3.4,,,,,,,,,,,,626011.00,626011.00
Virginia,"Virginia
(37.542680705000066, -78.45788932099998)",2.5,2.5,1.2,1.2,4.5,5.1,2.6,2.3,4.1,3.9,0.9,1.2,8185867.00,8411808.00
Washington,"Washington
(47.52228790000004, -120.47002813699999)",2.1,1.9,,,4,3.4,2,1.9,3.6,2.9,0.7,0.9,6897012.00,7288000.00
West Virginia,"West, Virginia
(38.66551127300005, -80.71263755899997)",5.6,4.7,,,12.9,10,4.4,4,9.3,7.1,,,1855413.00,1850326.00
Wisconsin,"Wisconsin
(44.39319064600005, -89.81636640199997)",3.6,2.9,1.6,,6.5,7.5,3.5,2.3,5.6,4.8,1.6,1.2,5726398.00,5778708.00
Wyoming,"Wyoming
(43.23554100600006, -108.10982701399996)",7.1,8.2,,,17.3,,,8.1,11.3,13.1,,,576412.00,584153.00
